sgRNA	Gene	Reads
HGLibA_24090	KAZN	363
HGLibA_36827	PKLR	451
HGLibA_50740	TNFRSF10C	2114
HGLibA_34659	OSBPL5	818
HGLibA_48207	TAF13	574
HGLibA_63845	hsa-mir-7154	1299
HGLibA_41840	RPGRIP1L	886
HGLibA_24932	KIF2C	1239
HGLibA_59812	hsa-mir-4277	763
HGLibA_37342	PNCK	653
HGLibA_38977	PRTFDC1	1819
HGLibA_50822	TNFSF4	1857
HGLibA_57156	hsa-mir-101-2	544
HGLibA_15487	ERICH1	327
HGLibA_28946	METTL10	546
HGLibA_08830	CDKN2A	574
HGLibA_18311	G6PC3	450
HGLibA_49130	TFAP2D	548
HGLibA_10440	CNTROB	1042
HGLibA_60153	hsa-mir-4438	289
HGLibA_43949	SH3GL2	395
HGLibA_35425	PCDHA1	217
HGLibA_44831	SLC28A1	338
HGLibA_15210	ENTPD5	794
HGLibA_20188	GPX7	2243
HGLibA_38705	PROX2	264
HGLibA_48558	TBC1D4	1275
HGLibA_40708	RCN3	589
HGLibA_38851	PRR7	970
HGLibA_02664	ARFGAP2	498
HGLibA_34323	OR5L1	1159
HGLibA_43774	SFTPC	324
HGLibA_45487	SLFN12L	330
HGLibA_16305	FAM179A	1037
HGLibA_05447	C16orf45	1393
HGLibA_12693	DDX31	1467
HGLibA_09922	CLEC10A	354
HGLibA_39035	PSG1	1198
HGLibA_39987	RAB8B	288
HGLibA_54903	ZBTB48	714
HGLibA_11586	CTBP2	394
HGLibA_40671	RCAN2	1173
HGLibA_62032	hsa-mir-548k	828
HGLibA_50472	TMEM62	330
HGLibA_21647	HLA-G	288
HGLibA_23381	INSL3	800
HGLibA_30454	MTOR	234
HGLibA_55223	ZFP57	2262
HGLibA_48095	SYTL1	598
HGLibA_52925	UGT2B28	298
HGLibA_19601	GOLGA4	402
HGLibA_05141	C11orf45	396
HGLibA_42818	SC5D	182
HGLibA_00674	ACTR8	637
HGLibA_29506	MMP2	819
HGLibA_32167	NME5	559
HGLibA_28116	MAP1A	811
HGLibA_05924	C1QL1	1224
HGLibA_40665	RC3H2	300
HGLibA_57107	hsa-let-7a-3	451
HGLibA_25906	L3MBTL4	691
HGLibA_62456	hsa-mir-589	490
HGLibA_11386	CSNK1D	340
HGLibA_12645	DDTL	419
HGLibA_00116	ABCA5	280
HGLibA_18866	GDF3	536
HGLibA_10233	CMTR1	557
HGLibA_51285	TRAM1L1	1810
HGLibA_56741	ZNF782	289
HGLibA_11217	CRP	1510
HGLibA_37977	PPM1G	506
HGLibA_28678	MDGA2	1240
HGLibA_51128	TPH1	1254
HGLibA_08254	CD177	234
HGLibA_24393	KCNT1	260
HGLibA_34159	OR52E4	886
HGLibA_07182	CAPN9	513
HGLibA_26358	LGALS16	389
HGLibA_58637	hsa-mir-3145	2035
HGLibA_10108	CLPSL1	564
HGLibA_43850	SGPP1	1171
HGLibA_09790	CKS2	906
HGLibA_60752	hsa-mir-4661	674
HGLibA_28613	MCM4	1086
HGLibA_03840	ATXN2L	701
HGLibA_29785	MPV17L	591
HGLibA_18084	FSD2	1642
HGLibA_26606	LIPE	265
HGLibA_39350	PTGIS	774
HGLibA_57934	hsa-mir-1587	746
HGLibA_24412	KCTD1	1144
HGLibA_47839	SURF4	1234
HGLibA_32673	NRF1	175
HGLibA_07832	CCDC65	1018
HGLibA_62701	hsa-mir-616	368
HGLibA_07324	CASP8	846
HGLibA_33418	OPLAH	936
HGLibA_62355	hsa-mir-5704	1133
HGLibA_07758	CCDC33	1623
HGLibA_53337	USP33	1262
HGLibA_17108	FBXO45	1299
HGLibA_57950	hsa-mir-16-2	809
HGLibA_01623	ALG1L	1042
HGLibA_08484	CD96	1550
HGLibA_20669	GUF1	574
HGLibA_10816	COX16	562
HGLibA_13771	DOK2	952
HGLibA_08676	CDH3	1404
HGLibA_36385	PHF6	946
HGLibA_45528	SLITRK6	1013
HGLibA_52368	TWF1	271
HGLibA_23110	IL26	802
HGLibA_54302	WIF1	834
HGLibA_01756	AMD1	752
HGLibA_50921	TNS1	626
HGLibA_05529	C17orf107	222
HGLibA_50564	TMEM95	503
HGLibA_19388	GM2A	1499
HGLibA_50793	TNFRSF9	699
HGLibA_56957	ZP3	466
HGLibA_64300	hsa-mir-92b	346
HGLibA_26965	LOC643355	696
HGLibA_33193	OAF	1184
HGLibA_37604	POLR2L	287
HGLibA_64460	NonTargetingControlGuideForHuman_0077	595
HGLibA_46500	SPATA31D4	147
HGLibA_14472	EDN2	712
HGLibA_22276	HSPA1L	1881
HGLibA_24782	KIAA1549L	566
HGLibA_16496	FAM218A	930
HGLibA_26613	LIPG	124
HGLibA_18362	GABRA3	386
HGLibA_45615	SMARCAD1	654
HGLibA_19765	GPC2	955
HGLibA_56634	ZNF727	513
HGLibA_02724	ARHGAP20	151
HGLibA_63196	hsa-mir-676	1413
HGLibA_53789	VPS39	3430
HGLibA_17354	FGD5	88
HGLibA_58088	hsa-mir-195	293
HGLibA_44407	SLC15A2	1362
HGLibA_46413	SPANXN5	1574
HGLibA_26832	LOC100288332	1121
HGLibA_14172	DUSP27	91
HGLibA_02399	APCDD1L	299
HGLibA_24233	KCNIP1	495
HGLibA_25583	KRTAP1-3	986
HGLibA_43525	SERPINA6	224
HGLibA_02827	ARHGEF18	256
HGLibA_38213	PPP5C	1287
HGLibA_16373	FAM194B	334
HGLibA_43287	SELE	1474
HGLibA_26496	LILRA3	257
HGLibA_43719	SFI1	804
HGLibA_40526	RBM28	431
HGLibA_25952	LAMA5	1119
HGLibA_02738	ARHGAP25	567
HGLibA_27206	LRP12	597
HGLibA_10105	CLPS	850
HGLibA_62026	hsa-mir-548i-4	1196
HGLibA_43615	SERTM1	671
HGLibA_42589	S100Z	2773
HGLibA_61800	hsa-mir-526b	759
HGLibA_04761	BRCA1	1140
HGLibA_52389	TXLNA	1215
HGLibA_14325	E2F7	509
HGLibA_34674	OSCP1	323
HGLibA_04353	BCLAF1	389
HGLibA_20683	GXYLT1	340
HGLibA_40079	RAD51	751
HGLibA_50154	TMEM194A	691
HGLibA_58174	hsa-mir-204	549
HGLibA_48470	TBC1D10C	719
HGLibA_63113	hsa-mir-6740	174
HGLibA_11292	CRYM	125
HGLibA_54704	YOD1	663
HGLibA_34765	OTUD4	393
HGLibA_52917	UGT2B15	742
HGLibA_55809	ZNF329	690
HGLibA_09752	CIZ1	399
HGLibA_17750	FNDC3B	342
HGLibA_59559	hsa-mir-3921	1087
HGLibA_46867	SPSB4	771
HGLibA_08584	CDC42SE2	475
HGLibA_09041	CENPB	261
HGLibA_21940	HOXB5	74
HGLibA_56479	ZNF662	1877
HGLibA_50576	TMEM9B	770
HGLibA_04881	BST1	1237
HGLibA_45084	SLC38A9	713
HGLibA_51203	TPST1	1127
HGLibA_28107	MAOA	320
HGLibA_02106	ANKRD45	498
HGLibA_05907	C1orf94	966
HGLibA_52424	TXNDC5	1324
HGLibA_41829	RPF1	376
HGLibA_20404	GSDMA	1262
HGLibA_47840	SURF6	401
HGLibA_08404	CD52	519
HGLibA_61495	hsa-mir-5087	644
HGLibA_23554	IRAK1	1301
HGLibA_05716	C19orf82	953
HGLibA_01870	ANAPC13	2022
HGLibA_64165	hsa-mir-8081	1775
HGLibA_57858	hsa-mir-146a	972
HGLibA_44711	SLC25A33	737
HGLibA_49992	TMEM150A	281
HGLibA_64071	hsa-mir-8058	549
HGLibA_52831	UCP1	621
HGLibA_32747	NSDHL	482
HGLibA_62708	hsa-mir-617	1008
HGLibA_39845	RAB23	326
HGLibA_40371	RASL12	306
HGLibA_62323	hsa-mir-5698	767
HGLibA_48956	TECTB	86
HGLibA_53869	VSTM4	284
HGLibA_53101	UQCC2	723
HGLibA_21236	HGD	1690
HGLibA_18371	GABRA6	897
HGLibA_57527	hsa-mir-1272	878
HGLibA_48499	TBC1D21	1344
HGLibA_27008	LOC81691	1686
HGLibA_25754	KRTAP4-12	579
HGLibA_42998	SCN5A	281
HGLibA_43591	SERPING1	264
HGLibA_08077	CCND3	499
HGLibA_23699	ISYNA1	235
HGLibA_33828	OR2L5	771
HGLibA_30045	MRPS16	251
HGLibA_52148	TTC5	228
HGLibA_62937	hsa-mir-6516	641
HGLibA_60072	hsa-mir-4421	243
HGLibA_15603	ESX1	727
HGLibA_48959	TEDDM1	812
HGLibA_29476	MMP1	802
HGLibA_00738	ADAM15	433
HGLibA_55972	ZNF429	285
HGLibA_28664	MCUR1	828
HGLibA_45001	SLC35F1	823
HGLibA_03672	ATP5J2	654
HGLibA_45545	SLPI	880
HGLibA_33858	OR2T11	234
HGLibA_58186	hsa-mir-2053	224
HGLibA_61125	hsa-mir-4757	1556
HGLibA_00177	ABCC4	522
HGLibA_35373	PCBP3	1121
HGLibA_22333	HSPE1	83
HGLibA_31737	NEUROD2	392
HGLibA_31277	NCAPH2	300
HGLibA_59761	hsa-mir-4263	975
HGLibA_15130	ENHO	1081
HGLibA_31106	NANP	1429
HGLibA_23325	INO80C	815
HGLibA_54145	WDR62	682
HGLibA_24335	KCNK9	410
HGLibA_20536	GTF2E2	768
HGLibA_46136	SOCS5	127
HGLibA_04190	BAZ2A	408
HGLibA_42668	SAMD12	505
HGLibA_42223	RRAGA	329
HGLibA_55184	ZFP106	812
HGLibA_22817	IGFBP2	1209
HGLibA_09627	CHST15	1034
HGLibA_17104	FBXO44	232
HGLibA_06222	C3orf22	1271
HGLibA_08613	CDCA7	561
HGLibA_18219	FXR1	920
HGLibA_45504	SLIT1	767
HGLibA_48851	TCP11X2	424
HGLibA_01502	AKR7A3	295
HGLibA_28228	MAP6D1	418
HGLibA_38530	PRKAR2B	669
HGLibA_32044	NKX2-5	686
HGLibA_19273	GLIS2	1196
HGLibA_44663	SLC25A19	244
HGLibA_30873	MYOC	1653
HGLibA_15334	EPM2A	269
HGLibA_22012	HP1BP3	1580
HGLibA_54831	ZBTB18	679
HGLibA_65103	NonTargetingControlGuideForHuman_0720	602
HGLibA_27478	LRRN4	453
HGLibA_63876	hsa-mir-7162	631
HGLibA_35581	PCDP1	655
HGLibA_01851	AMY2A	1853
HGLibA_09709	CILP	788
HGLibA_62095	hsa-mir-549a	926
HGLibA_63608	hsa-mir-6859-1	212
HGLibA_54106	WDR47	1202
HGLibA_14416	ECM2	1291
HGLibA_49879	TMEM114	1315
HGLibA_10204	CMPK2	1274
HGLibA_14673	EHD3	1476
HGLibA_17701	FMO1	874
HGLibA_06288	C4B_2	562
HGLibA_37290	PMAIP1	1115
HGLibA_24437	KCTD18	638
HGLibA_59284	hsa-mir-3683	2031
HGLibA_05563	C17orf70	636
HGLibA_64819	NonTargetingControlGuideForHuman_0436	755
HGLibA_30786	MYLK2	812
HGLibA_54235	WDYHV1	880
HGLibA_24044	KANSL3	698
HGLibA_25177	KLHL3	145
HGLibA_13101	DHDH	921
HGLibA_33684	OR1K1	552
HGLibA_13570	DNAJC12	1003
HGLibA_01355	AIMP1	677
HGLibA_08509	CDC14A	1142
HGLibA_43327	SEMA3D	1194
HGLibA_58885	hsa-mir-3197	152
HGLibA_32962	NUDT18	814
HGLibA_28896	MEP1A	440
HGLibA_64610	NonTargetingControlGuideForHuman_0227	519
HGLibA_22699	IFNAR2	2686
HGLibA_36042	PELO	359
HGLibA_43073	SCUBE2	1156
HGLibA_16364	FAM193A	384
HGLibA_24088	KAZALD1	1157
HGLibA_24729	KIAA1257	507
HGLibA_04315	BCL2L13	1238
HGLibA_39951	RAB44	321
HGLibA_65049	NonTargetingControlGuideForHuman_0666	407
HGLibA_33926	OR4A16	774
HGLibA_51644	TRIP4	391
HGLibA_52402	TXN2	613
HGLibA_28349	8-Mar	1173
HGLibA_37073	PLEKHA5	126
HGLibA_23671	ISLR	1279
HGLibA_24701	KIAA1147	562
HGLibA_02937	ARL14	827
HGLibA_28167	MAP3K11	686
HGLibA_51638	TRIP12	498
HGLibA_52807	UCHL5	608
HGLibA_15570	ESM1	1515
HGLibA_28346	7-Mar	850
HGLibA_07079	CAMK2N1	861
HGLibA_35504	PCDHB6	1482
HGLibA_00242	ABHD12B	495
HGLibA_32455	NPHS1	650
HGLibA_52131	TTC39A	258
HGLibA_36466	PHTF2	903
HGLibA_28287	MAPK8IP1	970
HGLibA_36184	PFN4	1956
HGLibA_18061	FSBP	686
HGLibA_44017	SHD	925
HGLibA_58927	hsa-mir-320b-1	744
HGLibA_36500	PI4KB	439
HGLibA_25298	KLRC4-KLRK1	670
HGLibA_34960	PACSIN1	279
HGLibA_58934	hsa-mir-320c-1	581
HGLibA_15763	EXOC8	595
HGLibA_30000	MRPL47	260
HGLibA_24359	KCNN3	824
HGLibA_28562	MCC	656
HGLibA_51791	TRPV4	624
HGLibA_51430	TRIM21	195
HGLibA_28073	MAN2A2	991
HGLibA_24579	KHNYN	826
HGLibA_16084	FAM126B	152
HGLibA_43314	SELT	777
HGLibA_17438	FGFR1OP	1270
HGLibA_24307	KCNK15	962
HGLibA_36187	PGA3	1404
HGLibA_31163	NAT1	1459
HGLibA_16452	FAM210A	658
HGLibA_13531	DNAJB13	795
HGLibA_19005	GGNBP2	434
HGLibA_21558	HIST3H2BB	1114
HGLibA_21593	HLA-A	380
HGLibA_36839	PKN2	379
HGLibA_08222	CCZ1	804
HGLibA_10785	CORO2B	1359
HGLibA_01240	AGPS	314
HGLibA_16550	FAM24B	960
HGLibA_60988	hsa-mir-4723	760
HGLibA_48934	TEAD4	606
HGLibA_20145	GPRIN3	529
HGLibA_07025	CALM2	1385
HGLibA_14964	ELOVL3	352
HGLibA_29487	MMP12	209
HGLibA_35830	PDE8A	1628
HGLibA_38441	PREPL	467
HGLibA_33191	OAF	500
HGLibA_60227	hsa-mir-4455	754
HGLibA_51728	TRPC1	466
HGLibA_32670	NREP	530
HGLibA_07237	CARD8	332
HGLibA_06359	C5orf15	180
HGLibA_08829	CDKN2A	1147
HGLibA_47703	SUCLG2	1633
HGLibA_11705	CTSF	742
HGLibA_64775	NonTargetingControlGuideForHuman_0392	386
HGLibA_52683	UBE3C	150
HGLibA_10212	CMTM2	960
HGLibA_05492	C16orf87	784
HGLibA_12490	DCHS1	414
HGLibA_15596	ESRRB	180
HGLibA_31183	NAT8	212
HGLibA_38854	PRR9	1833
HGLibA_48716	TCEAL5	4018
HGLibA_27004	LOC730183	72
HGLibA_27922	MAGEA9	1070
HGLibA_05386	C15orf38	2678
HGLibA_35318	PAX9	1056
HGLibA_43299	SELM	472
HGLibA_15065	EML4	842
HGLibA_27855	MADCAM1	818
HGLibA_28893	MEOX2	327
HGLibA_21326	HINT2	317
HGLibA_54194	WDR83	621
HGLibA_27182	LRIG3	801
HGLibA_13791	DOLPP1	645
HGLibA_55953	ZNF419	753
HGLibA_14101	DUOX2	110
HGLibA_32967	NUDT2	2164
HGLibA_57279	hsa-mir-1205	303
HGLibA_50059	TMEM171	1001
HGLibA_32136	NLRP9	777
HGLibA_39020	PSD3	198
HGLibA_23422	INTS4	1370
HGLibA_52061	TTC17	1992
HGLibA_24962	KIF7	2187
HGLibA_62423	hsa-mir-581	2092
HGLibA_25901	L3MBTL3	808
HGLibA_59159	hsa-mir-3653	762
HGLibA_54064	WDR31	442
HGLibA_38103	PPP1R3C	1217
HGLibA_60935	hsa-mir-4709	371
HGLibA_60979	hsa-mir-4720	1403
HGLibA_32654	NRBP1	703
HGLibA_44352	SLC11A1	1124
HGLibA_02568	APPL2	481
HGLibA_20313	GRIN3B	447
HGLibA_55518	ZNF169	592
HGLibA_12178	CYP4B1	715
HGLibA_39632	PVRL4	1816
HGLibA_55773	ZNF302	665
HGLibA_60466	hsa-mir-4509-2	683
HGLibA_15281	EPGN	1225
HGLibA_00656	ACTR2	899
HGLibA_58453	hsa-mir-302e	1114
HGLibA_64403	NonTargetingControlGuideForHuman_0020	370
HGLibA_21780	HNF4A	234
HGLibA_49032	TESK2	443
HGLibA_47798	SUN5	789
HGLibA_37227	PLS3	976
HGLibA_39211	PSMG3	261
HGLibA_55489	ZNF142	441
HGLibA_65175	NonTargetingControlGuideForHuman_0792	466
HGLibA_56748	ZNF785	200
HGLibA_26781	LOC100130357	730
HGLibA_61231	hsa-mir-4781	618
HGLibA_40039	RABL6	2186
HGLibA_46597	SPDYE5	116
HGLibA_58029	hsa-mir-1909	578
HGLibA_13536	DNAJB2	706
HGLibA_31283	NCBP2	705
HGLibA_36987	PLCB4	296
HGLibA_09506	CHN1	879
HGLibA_39919	RAB3GAP1	935
HGLibA_08911	CDY2A	973
HGLibA_18071	FSCN2	785
HGLibA_42125	RPS27A	199
HGLibA_56208	ZNF549	392
HGLibA_51636	TRIP11	1165
HGLibA_22761	IFT46	1114
HGLibA_36807	PKDCC	1036
HGLibA_00279	ABHD4	421
HGLibA_21778	HNF1B	1816
HGLibA_52748	UBR1	1469
HGLibA_62081	hsa-mir-548x-2	2031
HGLibA_24489	KDM1A	615
HGLibA_64018	hsa-mir-7973-1	1034
HGLibA_38587	PRKRIP1	225
HGLibA_26010	LANCL3	958
HGLibA_63434	hsa-mir-6814	292
HGLibA_00275	ABHD3	778
HGLibA_17540	FITM1	833
HGLibA_61486	hsa-mir-507	946
HGLibA_22696	IFNAR1	1604
HGLibA_04287	BCL10	698
HGLibA_46617	SPEM1	1210
HGLibA_60764	hsa-mir-4663	288
HGLibA_19970	GPR173	1062
HGLibA_05654	C19orf38	470
HGLibA_51158	TPP1	250
HGLibA_33172	NXPH4	729
HGLibA_12984	DEPDC5	721
HGLibA_50657	TMSB10	934
HGLibA_30149	MS4A3	829
HGLibA_15055	EML1	310
HGLibA_31846	NFU1	621
HGLibA_00486	ACOT6	159
HGLibA_51767	TRPM6	1427
HGLibA_27061	LPAR4	926
HGLibA_37082	PLEKHA8	358
HGLibA_46809	SPRR2A	566
HGLibA_25316	KLRK1	832
HGLibA_16079	FAM124B	1291
HGLibA_56525	ZNF680	1239
HGLibA_37826	PPAPDC1A	245
HGLibA_63904	hsa-mir-761	942
HGLibA_48973	TEKT2	313
HGLibA_22286	HSPA4L	130
HGLibA_24414	KCTD10	496
HGLibA_48639	TBRG4	811
HGLibA_26868	LOC100507003	888
HGLibA_19668	GON4L	198
HGLibA_24649	KIAA0753	1979
HGLibA_00373	ACADSB	1606
HGLibA_07628	CCDC146	1756
HGLibA_46703	SPINK7	1447
HGLibA_08482	CD96	1686
HGLibA_37856	PPBP	2286
HGLibA_53009	UNC45B	1204
HGLibA_05893	C1orf74	2551
HGLibA_04755	BRAP	206
HGLibA_38144	PPP2R1B	486
HGLibA_39750	QSER1	1181
HGLibA_20513	GTDC1	1406
HGLibA_40773	RECQL5	1043
HGLibA_18494	GAL	671
HGLibA_10557	COL28A1	1025
HGLibA_65001	NonTargetingControlGuideForHuman_0618	652
HGLibA_36292	PGRMC2	4307
HGLibA_29765	MPP7	266
HGLibA_30160	MS4A6E	964
HGLibA_47962	SYN3	407
HGLibA_16800	FAM92B	87
HGLibA_34582	OR9Q1	601
HGLibA_13673	DNER	238
HGLibA_37191	PLK2	876
HGLibA_46158	SOGA3	595
HGLibA_53603	VDAC2	1450
HGLibA_54388	WNT8A	2257
HGLibA_59253	hsa-mir-3675	1066
HGLibA_45457	SLCO1C1	835
HGLibA_33320	OGFRL1	1011
HGLibA_45345	SLC7A1	480
HGLibA_64838	NonTargetingControlGuideForHuman_0455	1908
HGLibA_04614	BMP6	489
HGLibA_32661	NRCAM	15
HGLibA_57899	hsa-mir-151b	433
HGLibA_15366	EPRS	527
HGLibA_19083	GIMAP5	585
HGLibA_04863	BSDC1	600
HGLibA_19894	GPR135	477
HGLibA_05611	C18orf32	839
HGLibA_28436	MATN4	1173
HGLibA_37267	PLXNA4	1065
HGLibA_43428	10-Sep	1309
HGLibA_57824	hsa-mir-140	989
HGLibA_14064	DTNA	987
HGLibA_42985	SCN3A	1972
HGLibA_01238	AGPHD1	1467
HGLibA_13612	DNAJC28	471
HGLibA_16936	FBL	1169
HGLibA_03624	ATP2B4	538
HGLibA_61362	hsa-mir-490	435
HGLibA_26122	LCE2B	643
HGLibA_25600	KRTAP10-12	226
HGLibA_13811	DPCD	210
HGLibA_36024	PEF1	1521
HGLibA_40606	RBMXL2	521
HGLibA_36031	PEG3	515
HGLibA_42368	RTBDN	662
HGLibA_61849	hsa-mir-548aa-1	787
HGLibA_14958	ELOVL1	612
HGLibA_06810	CA4	775
HGLibA_43045	SCRIB	770
HGLibA_17625	FLJ25363	2725
HGLibA_19184	GJC3	212
HGLibA_42392	RTKN2	971
HGLibA_27122	LPPR4	552
HGLibA_26059	LAT	980
HGLibA_12863	DEFB118	429
HGLibA_53793	VPS45	970
HGLibA_15732	EXOC1	532
HGLibA_32981	NUDT5	761
HGLibA_13565	DNAJC10	977
HGLibA_56090	ZNF490	2033
HGLibA_40745	RDH16	2416
HGLibA_17679	FLVCR2	1025
HGLibA_31942	NINJ2	761
HGLibA_26552	LIMS3	1794
HGLibA_43595	SERPINH1	372
HGLibA_11510	CT45A5	496
HGLibA_54297	WIBG	1447
HGLibA_02818	ARHGEF15	1134
HGLibA_22622	IFIT1	659
HGLibA_32861	NTN5	497
HGLibA_17647	FLOT1	726
HGLibA_42574	S100A9	201
HGLibA_44479	SLC17A8	1598
HGLibA_27151	LRFN1	269
HGLibA_09260	CFH	283
HGLibA_17401	FGF23	313
HGLibA_40612	RBMY1A1	2933
HGLibA_09322	CGNL1	669
HGLibA_09429	CHFR	1724
HGLibA_42463	RUNX3	1376
HGLibA_61516	hsa-mir-509-3	1547
HGLibA_20995	HCST	990
HGLibA_16396	FAM19A1	472
HGLibA_09488	CHMP4A	582
HGLibA_50491	TMEM67	348
HGLibA_01512	AKT2	1376
HGLibA_13766	DOK1	1112
HGLibA_41229	RIBC1	1783
HGLibA_03973	B3GAT1	140
HGLibA_20233	GRB7	970
HGLibA_28095	MANEAL	1274
HGLibA_61990	hsa-mir-548g	319
HGLibA_27476	LRRN3	788
HGLibA_51432	TRIM22	555
HGLibA_21447	HIST1H2BM	840
HGLibA_37810	PPAN	1385
HGLibA_60242	hsa-mir-4459	317
HGLibA_34318	OR5K4	215
HGLibA_27917	MAGEA6	1041
HGLibA_24210	KCNH1	416
HGLibA_52980	UMODL1	322
HGLibA_26011	LANCL3	867
HGLibA_47339	STAMBPL1	4360
HGLibA_61504	hsa-mir-5089	611
HGLibA_30174	MSANTD3	308
HGLibA_36664	PIK3R6	769
HGLibA_40332	RASGEF1B	2385
HGLibA_41226	RHPN2	185
HGLibA_36491	PI4K2A	213
HGLibA_07622	CCDC144A	222
HGLibA_56168	ZNF527	821
HGLibA_59773	hsa-mir-4266	35
HGLibA_35301	PAX3	318
HGLibA_14808	EIF4A2	1446
HGLibA_64417	NonTargetingControlGuideForHuman_0034	1370
HGLibA_13394	DMBT1	2217
HGLibA_47861	SUV39H2	797
HGLibA_47462	STK17A	2391
HGLibA_53089	UPP2	1987
HGLibA_05715	C19orf81	718
HGLibA_64113	hsa-mir-8069	559
HGLibA_24246	KCNJ1	525
HGLibA_41925	RPL28	713
HGLibA_63338	hsa-mir-6790	1109
HGLibA_48521	TBC1D28	672
HGLibA_50209	TMEM212	1507
HGLibA_63392	hsa-mir-6804	921
HGLibA_23187	IL6ST	1207
HGLibA_55678	ZNF256	1032
HGLibA_31762	NF2	1050
HGLibA_01955	ANKFN1	125
HGLibA_19442	GNA13	402
HGLibA_63561	hsa-mir-6847	353
HGLibA_24955	KIF5C	112
HGLibA_22781	IGBP1	749
HGLibA_49034	TESPA1	979
HGLibA_53711	VNN1	1219
HGLibA_11131	CREM	2275
HGLibA_25080	KLF7	717
HGLibA_39995	RAB9B	1029
HGLibA_62838	hsa-mir-649	651
HGLibA_51062	TP53I13	579
HGLibA_07841	CCDC68	3164
HGLibA_22809	IGF2R	1454
HGLibA_32539	NPTXR	385
HGLibA_48074	SYT3	438
HGLibA_02997	ARL8A	868
HGLibA_33837	OR2M3	2334
HGLibA_11878	CXCL9	814
HGLibA_45157	SLC44A1	868
HGLibA_43913	SH3BGR	369
HGLibA_21790	HNRNPA0	1215
HGLibA_19878	GPR125	970
HGLibA_33164	NXPH2	376
HGLibA_65180	NonTargetingControlGuideForHuman_0797	711
HGLibA_33624	OR13H1	1632
HGLibA_36364	PHF20	1268
HGLibA_15714	EWSR1	239
HGLibA_39869	RAB2B	549
HGLibA_29849	MRGPRX2	751
HGLibA_40746	RDH16	963
HGLibA_55776	ZNF304	2155
HGLibA_23402	INSRR	1322
HGLibA_52913	UGT2B10	771
HGLibA_58980	hsa-mir-329-1	1382
HGLibA_00951	ADH1A	801
HGLibA_05098	C10orf82	225
HGLibA_08436	CD7	1109
HGLibA_37292	PMAIP1	1187
HGLibA_32440	NPFFR1	426
HGLibA_42298	RSAD2	822
HGLibA_56221	ZNF554	460
HGLibA_20326	GRK1	713
HGLibA_23984	JPH3	651
HGLibA_54892	ZBTB44	895
HGLibA_38330	PRAMEF8	314
HGLibA_29713	MPDZ	800
HGLibA_65373	NonTargetingControlGuideForHuman_0990	618
HGLibA_41422	RNASE9	479
HGLibA_11771	CUEDC2	369
HGLibA_20154	GPSM1	313
HGLibA_32888	NTSR2	1129
HGLibA_29058	MFF	2337
HGLibA_59993	hsa-mir-4318	1079
HGLibA_09581	CHRNA6	303
HGLibA_19419	GMNN	1664
HGLibA_31259	NCAN	733
HGLibA_00117	ABCA5	1003
HGLibA_51064	TP53I13	726
HGLibA_63244	hsa-mir-6770-1	194
HGLibA_03545	ATP10A	722
HGLibA_12011	CYB5R4	372
HGLibA_00455	ACMSD	929
HGLibA_17196	FCGR3A	1103
HGLibA_15939	FADS3	778
HGLibA_21826	HNRNPH2	383
HGLibA_43205	SEC14L6	529
HGLibA_53304	USP22	436
HGLibA_53877	VSX2	363
HGLibA_57603	hsa-mir-1285-2	585
HGLibA_41598	RNF187	654
HGLibA_00584	ACSM5	1342
HGLibA_38762	PRPS2	1032
HGLibA_13455	DMXL2	1032
HGLibA_12442	DCAF4L1	600
HGLibA_43572	SERPINC1	978
HGLibA_07918	CCDC9	561
HGLibA_22653	IFLTD1	1337
HGLibA_43954	SH3GLB1	1802
HGLibA_18392	GABRG2	948
HGLibA_08527	CDC25A	916
HGLibA_52518	UBA3	194
HGLibA_34867	P2RY1	744
HGLibA_34277	OR5D14	1785
HGLibA_21722	HMGN3	531
HGLibA_45733	SMIM15	1643
HGLibA_47299	ST8SIA5	1219
HGLibA_38485	PRIM2	707
HGLibA_25495	KRT37	248
HGLibA_55593	ZNF214	908
HGLibA_43063	SCT	1314
HGLibA_21057	HDHD3	407
HGLibA_00526	ACPT	996
HGLibA_09571	CHRNA3	392
HGLibA_02754	ARHGAP30	576
HGLibA_64785	NonTargetingControlGuideForHuman_0402	1243
HGLibA_01088	AEBP2	409
HGLibA_01078	ADSSL1	313
HGLibA_40255	RAPGEF4	551
HGLibA_00489	ACOT7	1116
HGLibA_04947	BTG3	1248
HGLibA_37110	PLEKHG4	556
HGLibA_21495	HIST1H4D	545
HGLibA_06977	CADPS	779
HGLibA_31572	NDUFV2	105
HGLibA_41530	RNF144B	266
HGLibA_48684	TBXAS1	816
HGLibA_33583	OR11L1	196
HGLibA_55575	ZNF205	1714
HGLibA_29979	MRPL40	2144
HGLibA_45168	SLC44A5	2185
HGLibA_07002	CALCOCO2	1067
HGLibA_01830	AMPD3	762
HGLibA_29009	METTL4	622
HGLibA_07228	CARD17	1142
HGLibA_51481	TRIM38	679
HGLibA_27673	LY6H	372
HGLibA_37843	PPARG	1474
HGLibA_14111	DUS1L	201
HGLibA_09376	CHCHD6	2064
HGLibA_09997	CLEC4M	397
HGLibA_07131	CANX	1361
HGLibA_26112	LCE1E	913
HGLibA_56978	ZRANB3	503
HGLibA_32410	NPB	271
HGLibA_10837	COX5A	394
HGLibA_01000	ADNP	554
HGLibA_14321	E2F6	795
